id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
4852520453677532,Mm2ipfqH2,1133791841,再见米娅225,2022年12月21日J11驱离驱离美国RC135。军事超话#美国##中美贸易战新主张##关注俄乌局势最新进展#L再见米娅225的微博视频,,,,"美国,中美贸易战新主张,关注俄乌局势最新进展",0,0,0,2022-12-30 23:34,微博视频号,,"http://f.video.weibocdn.com/o0/LdV5MAZmlx081Y3pdiMM010412004D4M0E010.mp4?label=mp4_hd&template=848x464.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763145016&ssig=dXjJFEhcfN&KID=unistore,video",,,普通用户,非会员,0
4844740430529793,MiLTZ2dP3,7805020776,海月幻境,中美芯片大战：英伟达创始人黄仁勋（浙江青田人）台积电创始人张忠谋（浙江宁波人）AMD首位女性CEO苏姿丰（台湾台南人）#芯片##中美贸易战新主张#,,,,"芯片,中美贸易战新主张",0,0,1,2022-12-09 12:19,HarmonyOS设备,https://wx2.sinaimg.cn/large/008wd4rSgy1h8xfv4x5rmj30sg0iydk4.jpg,,,,普通用户,非会员,0
4843728097510494,MilzbvvP0,7529916198,糖YYv蛋挞,中美贸易数据将创下新高打脸“脱钩”12月6日，美国将公布10月的进出口情况。但今年前9个月已有的数据已非常明确地显示出中美贸易再创新高的趋势。数据显示，今年前9个月，美国从中国进口了价值4180亿美元的商品，比保持目前纪录的2018年同期多出237亿美元。自中美贸易战爆发以来，2022年将成为一个中美贸易额创纪录的年份。不但美国从中国的进口超过历史上任何一年，美国向中国的出口也将创下新的纪录。这些记录打脸了美国一些不断鼓噪中美“脱钩”的人士。#中美贸易战新主张#,,,,中美贸易战新主张,1,0,1,2022-12-06 17:17,,,,,,普通用户,会员,8
4843065875636881,Mi4l5nEpr,6256258692,闪电之春,谁能想到，贸易战打了六年之后，本年度中美贸易额有望再创新高。据彭博社消息，2022年或将成为中美贸易额创记录的年份。其间，美国从中国的进口超过任何一年，对华出口也将创记录。尽管美国挑起的贸易战已接近六年，并且，美国一些政界人士不断鼓吹“脱钩论”。2021年，中美贸易额超过7500亿，已是史上新高。从目前的趋势看，今年的贸易额还将增长，再创记录的可能性很大。彭博社指出，这种现象值得反思。在贸易战与脱钩论的背景下，中美贸易额不降反升。这恰恰证明了中美双边贸易内在的强大驱动力，人为的政治因素很难破坏这一点。#中美关系##中美贸易战新主张##中美间贸易摩擦##国际贸易#,,,,"中美关系,中美贸易战新主张,中美间贸易摩擦,国际贸易",3,11,52,2022-12-04 21:25,荣耀50 5G,https://wx1.sinaimg.cn/large/006PoCGgly1h8s3hkcz5fj30m80eudi1.jpg,,,,黄V,会员,7
4839060562515073,Mgo8UayhH,6266888315,晨曦防务的唐志峰,#中美关系##中美彻底脱钩不现实也没好处##中美贸易战新主张#中美冲突问题，开始很多人以为美方不会舍得以巨大经济损失为代价来打压中方，结果美方悍然发动了贸易战，如今已持续4年了；很多人以为中方难以对抗，结果中方抵抗住了。2022年，中方以为迎来了中美关系缓和，美方取消部分加增的关税的可能，于是各种争取，被称为鹰派的人物都被派去做友好外交工作了，结果却是镜花水月一场空。中美脱钩问题，很多人以为美方难以和中方脱钩——是比较难，但是美方却一直在实实在在的努力与中方脱钩中（中美贸易额占比连续下降）。美方再工业化问题，很多人认为美方劳动力成本太高，很难回归，但是美方也一直在努力中，无论是通过引诱，还是胁迫的方式（比如台方的芯片企业，技术人员往美方的大搬迁）。2022年的俄乌战争，乌克兰、欧洲一团糟，美方则再次得利，大量投资，科技企业往美方流动。当然，另一个主要流向的方向，是中方。后面，中美还会不断的实质性的脱钩。脱钩的越厉害，中美关系恶化的可能越大，恶化的程度可能越深。我们要做好充分的准备。当然，也可能中美脱钩的差不多了，中方实力却赶超美方了。一切尽在今后10年。,,郑州·郑州市动物园,,"中美关系,中美彻底脱钩不现实也没好处,中美贸易战新主张",0,1,2,2022-11-23 20:10,HUAWEI P30 Pro,https://wx2.sinaimg.cn/large/006Q7dVNly1h8fbisszzoj30u00omtft.jpg,,,,普通用户,会员,7
4570003665848682,Jtn78oxvA,5685358568,微博港股,华盛早报|双11打折！阿里一夜跌8%，市值蒸发超4000亿O华盛早报|双11打折！阿里一夜跌8%，市值蒸发超4000亿,,,,,3,1,2,2020-11-11 09:14,微博 weibo.com,,,,,,非会员,0
4835261680976208,MeNjG45Xi,1352752772,目送红颜上九天,时间碎片超话//@目送红颜上九天:#中美关系##中美贸易战新主张#已经全面升级￼股市#股市分析#O重磅突发！美国会表决日期确定！美国上市的中国公司面临集体退市！！#国际局势#该来的总算还是来了！//@目送红颜上九天:中概股超话#中概股#们，阿里巴巴超话#阿里巴巴#和京东超话#京东#为首，浪迹天涯的游子，回望故乡的云，,,,目送红颜上九天,"中美关系,中美贸易战新主张,股市分析,国际局势,中概股,阿里巴巴,京东",0,0,2,2022-11-13 08:34,缘觉的鸿蒙HarmonyOS设备,,,4570003665848682,,普通用户,非会员,0
4827664021721567,MbBFo7dRd,6340026081,茂哥日记,2022年10月7日，美国商务部发布新一轮出口管制措施，针对中国芯片业极限制裁，意图从科技上封锁中国发展。卢克文认为这是美国在搞脱钩，美国已经在主导一场新冷战。#美国##中美贸易战新主张#视频来自卢克文L茂哥日记的微博视频,,,,"美国,中美贸易战新主张",34,21,102,2022-10-23 09:24,微博视频号,,"http://f.video.weibocdn.com/u0/Uay5v3n9gx080cEwEX4k01041208vlEW0E030.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763145016&ssig=ARRCqo1dKv&KID=unistore,video",,,黄V,会员,7
4817240232559869,M7euPaJWd,3237717605,江南板桥,中美之争的本质是什么O中美之争的本质是什么推文超话#历史##战争##地缘政治##国际政治##中美##中美贸易战新主张##中美高层战略对话#,,,,"历史,战争,地缘政治,国际政治,中美,中美贸易战新主张,中美高层战略对话",0,0,0,2022-09-24 15:03,华为手机,https://wx3.sinaimg.cn/large/c0fba665ly1h6hph25ge9j20lh0c2gmp.jpg,,,,普通用户,非会员,0
4813280473777656,M5zu7fQJW,3237717605,江南板桥,温铁军：为什么一定要“去中国化”？#国际政治##中美贸易战新主张#L江南板桥的微博视频,,,,"国际政治,中美贸易战新主张",16,3,40,2022-09-13 16:49,微博视频号,,"http://f.video.weibocdn.com/o0/vqx0lsdjlx07ZblttZ7O01041200Dfie0E010.mp4?label=mp4_720p&template=720x744.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1763145188&ssig=XOvOY6bLbX&KID=unistore,video",,,普通用户,非会员,0
